Categoria,Total,Percentagem,Descricao,Insight
Triagem,39,32.5,"Comentários sobre a triagem na urgência.","Muitos doentes relatam tempos de espera longos, pouca empatia e comunicação pouco clara nesta fase inicial."
Atendimento Hospitalar,15,12.5,"Atendimento médico e de enfermagem durante a estadia.","Os comentários focam-se em postura dos profissionais e sensação de falta de humanização."
Cobrança Indevida,26,21.7,"Faturação, pagamentos e transparência de custos.","Comentários sugerem confusão sobre preços e comunicação pouco clara sobre o que é cobrado."
Tempo de Espera,11,9.2,"Tempo de espera para atendimento, exames ou resultados.","Reforça a importância da gestão de filas e de atualizar os doentes sobre atrasos."
Call Center,8,6.7,"Linha telefónica e contacto remoto.","Principais temas: dificuldade em contactar, tempos de resposta e falta de informação clara."
Condições Higiénicas,2,1.7,"Instalações físicas e higiene.","Alguns comentários sobre limpeza e condições do espaço físico."
Exames Médicos,2,1.7,"Marcação e realização de exames.","Volume baixo, mas aparecem queixas sobre tempos de espera e coordenação."
Comportamento dos Médicos,5,4.2,"Queixas sobre atitude e profissionalismo dos médicos.","Treinar empatia e comunicação não verbal dos médicos."
Reembolso,3,2.5,"Problemas com reembolso de pagamentos.","Melhorar transparência do processo de reembolso."
Gestão do Hospital,4,3.3,"Críticas à organização geral do hospital.","Revisar fluxos operacionais e coordenação interna."
Negligência Médica,2,1.7,"Alegações graves de negligência médica.","Casos prioritários para análise clínica e jurídica."
Ambiente,3,2.5,"Condições ambientais e conforto do espaço.","Melhorar conforto e condições físicas do ambiente."
Urgências Hospitalares,4,3.3,"Atendimento nas urgências hospitalares.","Foco em triagem rápida e comunicação clara."
Serviço Administrativo,3,2.5,"Processos administrativos e organização.","Perceção de burocracia e desorganização em alguns pontos."
App Atendimento,6,5.0,"Problemas com app e assistente virtual.","Melhorar UX do app e disponibilidade do assistente virtual."
Pagamento Consultas,5,4.2,"Dúvidas sobre pagamento de consultas.","Clarificar políticas de pagamento e recibos."
Falta de Informação,7,5.8,"Falta de comunicação com pacientes.","Implementar protocolo de updates proativos aos pacientes."
Marcação Consulta,8,6.7,"Dificuldades na marcação/cancelamento.","Simplificar sistema de agendamento online."
Serviço Hospitalar,4,3.3,"Serviços gerais do hospital.","Avaliar satisfação geral com serviços hospitalares."
Falta de Atendimento,3,2.5,"Queixas sobre falta de atendimento.","Garantir cobertura adequada de pessoal."
Atendimento Indevido,4,3.3,"Atendimentos considerados inadequados.","Revisar protocolos de atendimento e formação."
Screening,1,0.8,"Screening e pré-avaliação.","Poucos comentários, mas vale monitorizar se o volume aumenta."
Administrativo Gestão,3,2.5,"Processos administrativos e organização.","Perceção de burocracia e desorganização."
Negligência Obstetrícia,1,0.8,"Casos de alegada negligência em obstetrícia.","Casos de alto impacto reputacional; análise qualitativa profunda."
Positivas,2,1.7,"Comentários claramente positivos.","Reforçam pontos fortes como competência técnica e simpatia."
Outras,32,26.7,"Comentários não encaixam nas categorias anteriores.","Subdividir esta categoria para insights mais específicos."
